complete,volume,time,mid
True,67438,2021-05-05T21:00:00.000000000Z,"{'o': '1.20038', 'h': '1.20717', 'l': '1.19932', 'c': '1.20653'}"
True,96967,2021-05-06T21:00:00.000000000Z,"{'o': '1.20610', 'h': '1.21716', 'l': '1.20530', 'c': '1.21632'}"
True,87108,2021-05-09T21:00:00.000000000Z,"{'o': '1.21640', 'h': '1.21789', 'l': '1.21278', 'c': '1.21288'}"
True,98344,2021-05-10T21:00:00.000000000Z,"{'o': '1.21293', 'h': '1.21818', 'l': '1.21230', 'c': '1.21483'}"
True,128830,2021-05-11T21:00:00.000000000Z,"{'o': '1.21486', 'h': '1.21524', 'l': '1.20656', 'c': '1.20726'}"
True,118939,2021-05-12T21:00:00.000000000Z,"{'o': '1.20734', 'h': '1.21062', 'l': '1.20514', 'c': '1.20790'}"
True,86658,2021-05-13T21:00:00.000000000Z,"{'o': '1.20806', 'h': '1.21478', 'l': '1.20710', 'c': '1.21457'}"
True,78686,2021-05-16T21:00:00.000000000Z,"{'o': '1.21474', 'h': '1.21690', 'l': '1.21262', 'c': '1.21500'}"
True,81683,2021-05-17T21:00:00.000000000Z,"{'o': '1.21528', 'h': '1.22340', 'l': '1.21508', 'c': '1.22225'}"
True,120899,2021-05-18T21:00:00.000000000Z,"{'o': '1.22239', 'h': '1.22454', 'l': '1.21597', 'c': '1.21758'}"
True,84440,2021-05-19T21:00:00.000000000Z,"{'o': '1.21690', 'h': '1.22293', 'l': '1.21690', 'c': '1.22286'}"
True,94002,2021-05-20T21:00:00.000000000Z,"{'o': '1.22282', 'h': '1.22399', 'l': '1.21608', 'c': '1.21817'}"
True,80950,2021-05-23T21:00:00.000000000Z,"{'o': '1.21768', 'h': '1.22300', 'l': '1.21724', 'c': '1.22166'}"
True,96750,2021-05-24T21:00:00.000000000Z,"{'o': '1.22174', 'h': '1.22664', 'l': '1.22116', 'c': '1.22522'}"
True,90665,2021-05-25T21:00:00.000000000Z,"{'o': '1.22542', 'h': '1.22630', 'l': '1.21819', 'c': '1.21929'}"
True,98538,2021-05-26T21:00:00.000000000Z,"{'o': '1.21920', 'h': '1.22152', 'l': '1.21752', 'c': '1.21941'}"
True,95552,2021-05-27T21:00:00.000000000Z,"{'o': '1.21950', 'h': '1.22050', 'l': '1.21326', 'c': '1.21921'}"
True,49436,2021-05-30T21:00:00.000000000Z,"{'o': '1.22010', 'h': '1.22314', 'l': '1.21834', 'c': '1.22258'}"
True,81745,2021-05-31T21:00:00.000000000Z,"{'o': '1.22258', 'h': '1.22545', 'l': '1.22116', 'c': '1.22138'}"
True,84234,2021-06-01T21:00:00.000000000Z,"{'o': '1.22134', 'h': '1.22266', 'l': '1.21640', 'c': '1.22104'}"
True,95659,2021-06-02T21:00:00.000000000Z,"{'o': '1.22104', 'h': '1.22142', 'l': '1.21182', 'c': '1.21271'}"
True,93352,2021-06-03T21:00:00.000000000Z,"{'o': '1.21273', 'h': '1.21856', 'l': '1.21040', 'c': '1.21668'}"
True,64527,2021-06-06T21:00:00.000000000Z,"{'o': '1.21671', 'h': '1.22018', 'l': '1.21449', 'c': '1.21894'}"
True,76503,2021-06-07T21:00:00.000000000Z,"{'o': '1.21897', 'h': '1.21944', 'l': '1.21642', 'c': '1.21730'}"
True,57010,2021-06-08T21:00:00.000000000Z,"{'o': '1.21728', 'h': '1.22181', 'l': '1.21712', 'c': '1.21794'}"
True,105493,2021-06-09T21:00:00.000000000Z,"{'o': '1.21804', 'h': '1.21949', 'l': '1.21433', 'c': '1.21760'}"
True,70556,2021-06-10T21:00:00.000000000Z,"{'o': '1.21707', 'h': '1.21930', 'l': '1.20926', 'c': '1.21090'}"
True,62923,2021-06-13T21:00:00.000000000Z,"{'o': '1.21088', 'h': '1.21306', 'l': '1.20944', 'c': '1.21202'}"
True,69565,2021-06-14T21:00:00.000000000Z,"{'o': '1.21194', 'h': '1.21474', 'l': '1.21014', 'c': '1.21260'}"
True,111528,2021-06-15T21:00:00.000000000Z,"{'o': '1.21266', 'h': '1.21348', 'l': '1.19946', 'c': '1.19951'}"
True,138674,2021-06-16T21:00:00.000000000Z,"{'o': '1.19955', 'h': '1.20065', 'l': '1.18918', 'c': '1.19070'}"
True,142929,2021-06-17T21:00:00.000000000Z,"{'o': '1.19076', 'h': '1.19251', 'l': '1.18474', 'c': '1.18642'}"
True,118752,2021-06-20T21:00:00.000000000Z,"{'o': '1.18572', 'h': '1.19214', 'l': '1.18477', 'c': '1.19178'}"
True,98700,2021-06-21T21:00:00.000000000Z,"{'o': '1.19187', 'h': '1.19528', 'l': '1.18811', 'c': '1.19412'}"
True,93570,2021-06-22T21:00:00.000000000Z,"{'o': '1.19398', 'h': '1.19702', 'l': '1.19116', 'c': '1.19266'}"
True,87693,2021-06-23T21:00:00.000000000Z,"{'o': '1.19274', 'h': '1.19564', 'l': '1.19176', 'c': '1.19312'}"
True,82177,2021-06-24T21:00:00.000000000Z,"{'o': '1.19317', 'h': '1.19754', 'l': '1.19264', 'c': '1.19361'}"
